key,firm,highlights,solicitor,key:user-account
# base entity
auditor-01,example,example,true,user-account-auditor-01
# firm,"","","",""
auditor-02,"Lorem ipsum dolor sit amet, consectetu",example,true,user-account-auditor-02
auditor-03,L,example,true,user-account-auditor-03
auditor-04,Lo,example,true,user-account-auditor-04
auditor-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",example,true,user-account-auditor-05
auditor-06,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",example,true,user-account-auditor-06
auditor-07,โลเร็ม อิปซัม,example,true,user-account-auditor-07
auditor-08,لوريم إيبسوم,example,true,user-account-auditor-08
auditor-09,洛伦·伊普森,example,true,user-account-auditor-09
auditor-10,<marquee>Hacked</marquee>,example,true,user-account-auditor-10
auditor-11,<script>alert(‘Hacked!’);</script>,example,true,user-account-auditor-11
auditor-12,"<noscript><p title=""</noscript><img src=x onerror=alert(1)>"">",example,true,user-account-auditor-12
auditor-13,' or 'A' = 'A,example,true,user-account-auditor-13
auditor-14,'; DROP TABLE user_account;--,example,true,user-account-auditor-14
auditor-15,'; SHUTDOWN;--,example,true,user-account-auditor-15
auditor-16,'; EXEC xp_cmdshell('ping attacker.com');--,example,true,user-account-auditor-16
# highlights,"","",""
auditor-17,example,"Lorem ipsum dolor sit amet, consectetu",true,user-account-auditor-17
auditor-18,example,L,true,user-account-auditor-18
auditor-19,example,Lo,true,user-account-auditor-19
auditor-20,example,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",true,user-account-auditor-20
auditor-21,example,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",true,user-account-auditor-21
auditor-22,example,โลเร็ม อิปซัม,true,user-account-auditor-22
auditor-23,example,لوريم إيبسوم,true,user-account-auditor-23
auditor-24,example,洛伦·伊普森,true,user-account-auditor-24
auditor-25,example,<marquee>Hacked</marquee>,true,user-account-auditor-25
auditor-26,example,<script>alert(‘Hacked!’);</script>,true,user-account-auditor-26
auditor-27,example,"<noscript><p title=""</noscript><img src=x onerror=alert(1)>"">",true,user-account-auditor-27
auditor-28,example,' or 'A' = 'A,true,user-account-auditor-28
auditor-29,example,'; DROP TABLE user_account;--,true,user-account-auditor-29
auditor-30,example,'; SHUTDOWN;--,true,user-account-auditor-30
auditor-31,example,'; EXEC xp_cmdshell('ping attacker.com');--,true,user-account-auditor-31
# solicitor,"","",""
auditor-32,example,example,false,user-account-auditor-32
